Sentence #,Word,POS,Tag
11,ban,O,B-loc
11,công,O,I-loc
11,số,O,I-loc
11,3,O,E-loc
11,nhé,O,O
12,sao,O,O
12,tối,O,O
12,thế,O,O
12,bật,O,B-cm
12,điện,O,B-dv
12,lên,O,O
12,cho,O,O
12,anh,O,O
12,với,O,O
13,ờ,O,O
13,hình,O,O
13,như,O,O
13,có,O,O
13,gì,O,O
13,chưa,O,O
13,đúng,O,O
13,lắm,O,O
13,tắt,O,B-cm
13,điện,O,B-dv
13,hộ,O,O
13,mình,O,O
13,với,O,O
14,đóng,O,B-cm
14,van,O,B-dv
14,nước,O,E-dv
14,hộ,O,O
14,mình,O,O
14,với,O,O
15,mình,O,O
15,chuẩn,O,O
15,bị,O,O
15,đi,O,O
15,ngủ,O,O
15,rồi,O,O
15,tắt,O,B-cm
15,giúp,O,O
15,mình,O,O
15,cái,O,O
15,đèn,O,B-dv
15,tròn,O,E-dv
15,với,O,O
16,chị,O,O
16,ơi,O,O
16,tăng,O,B-cm
16,hộ,O,O
16,em,O,O
16,cái,O,O
16,bóng,O,B-dv
16,làm,O,I-dv
16,việc,O,E-dv
16,với,O,O
17,nhà,O,O
17,thông,O,O
17,minh,O,O
17,tăng,O,B-cm
17,cho,O,O
17,mình,O,O
17,bình,O,B-dv
17,nóng,O,I-dv
17,lạnh,O,E-dv
18,em,O,O
18,ơi,O,O
18,đóng,O,B-cm
18,giúp,O,O
18,anh,O,O
18,cái,O,O
18,vòi,O,B-dv
18,nước,O,E-dv
18,với,O,O
19,ở,O,O
19,phòng,O,B-loc
19,chơi,O,I-loc
19,game,O,E-loc
19,em,O,O
19,nhé,O,O
19,em,O,O
19,mở,O,B-cm
19,giúp,O,O
19,anh,O,O
19,trong,O,O
19,18,O,B-dr
19,tiếng,O,I-dr
19,22,O,I-dr
19,phút,O,E-dr
20,em,O,O
20,"ơi,",O,O
20,kiểm,O,B-cm
20,tra,O,E-cm
20,cho,O,O
20,anh,O,O
20,cái,O,O
20,tình,O,O
20,trạng,O,O
20,đèn,O,B-dv
20,ngủ,O,E-dv
21,chị,O,O
21,đang,O,O
21,ở,O,O
21,phòng,O,B-loc
21,tắm,O,E-loc
21,em,O,O
21,đóng,O,B-cm
21,cái,O,O
21,rèm,O,B-dv
21,hộ,O,O
21,chị,O,O
21,cái,O,O
22,ê,O,O
22,em,O,O
22,"ơi,",O,O
22,đóng,O,B-cm
22,giúp,O,O
22,anh,O,O
22,cái,O,O
22,lò,O,B-dv
22,sưởi,O,E-dv
23,mình,O,O
23,muốn,O,O
23,kiểm,O,B-cm
23,tra,O,E-cm
23,bóng,O,B-dv
23,trụ,O,I-dv
23,cổng,O,E-dv
24,trời,O,O
24,hôm,O,O
24,nay,O,O
24,rất,O,O
24,là,O,O
24,sáng,O,O
24,nên,O,O
24,tắt,O,B-cm
24,đèn,O,B-dv
24,đi,O,O
25,trời,O,O
25,nóng,O,O
25,quá,O,O
25,mở,O,B-cm
25,cho,O,O
25,anh,O,O
25,máy,O,B-dv
25,hút,O,I-dv
25,ẩm,O,E-dv
25,em,O,O
25,nhé,O,O
26,hình,O,O
26,như,O,O
26,cái,O,O
26,máy,O,B-dv
26,pha,O,I-dv
26,cafe,O,E-dv
26,kêu,O,O
26,hơi,O,O
26,"ồn,",O,O
26,kiểm,O,B-cm
26,tra,O,E-cm
26,cho,O,O
26,anh,O,O
26,với,O,O
26,nhá,O,O
27,tăng,O,B-cm
27,cho,O,O
27,mình,O,O
27,cái,O,O
27,quạt,O,B-dv
27,trần,O,E-dv
27,ở,O,O
27,trong,O,O
27,phòng,O,B-loc
27,họp,O,I-loc
27,gia,O,I-loc
27,đình,O,E-loc
27,lên,O,O
27,"nhớ,",O,O
27,nóng,O,O
27,quá,O,O
28,em,O,O
28,ơi,O,O
28,tắt,O,B-cm
28,hộ,O,O
28,anh,O,O
28,cái,O,O
28,đèn,O,B-dv
28,làm,O,I-dv
28,việc,O,E-dv
28,ở,O,O
28,phòng,O,B-loc
28,học,O,E-loc
28,với,O,O
29,bạn,O,O
29,ơi,O,O
29,tắt,O,B-cm
29,cho,O,O
29,mình,O,O
29,cái,O,O
29,đèn,O,B-dv
29,led,O,E-dv
30,tắt,O,B-cm
30,hộ,O,O
30,anh,O,O
30,cái,O,O
30,bóng,O,B-dv
30,chùm,O,E-dv
30,chỗ,O,O
30,anh,O,O
30,đang,O,O
30,ngồi,O,O
30,em,O,O
30,nhé,O,O
31,bật,O,B-cm
31,cho,O,O
31,tôi,O,O
31,cái,O,O
31,máy,O,B-dv
31,chơi,O,I-dv
31,game,O,E-dv
31,tôi,O,O
31,làm,O,O
31,ván,O,O
31,game,O,O
31,xem,O,O
31,nào,O,O
32,em,O,O
32,ơi,O,O
32,kiểm,O,B-cm
32,tra,O,E-cm
32,tình,O,O
32,trạng,O,O
32,điện,O,B-dv
32,cho,O,O
32,anh,O,O
32,với,O,O
33,đóng,O,B-cm
33,cho,O,O
33,anh,O,O
33,cái,O,O
33,rèm,O,B-dv
33,ở,O,O
33,trong,O,O
33,phòng,O,B-loc
33,ngủ,O,E-loc
34,hãy,O,O
34,tắt,O,B-cm
34,cho,O,O
34,tôi,O,O
34,đèn,O,B-dv
34,led,O,E-dv
34,lúc,O,O
34,23,O,B-ta
34,giờ,O,I-ta
34,16,O,I-ta
34,phút,O,E-ta
35,trời,O,O
35,mát,O,O
35,"rồi,",O,O
35,giảm,O,B-cm
35,cái,O,O
35,quạt,O,B-dv
35,treo,O,I-dv
35,tường,O,E-dv
35,xuống,O,O
35,cho,O,O
35,mình,O,O
35,nhớ,O,O
36,chắc,O,O
36,được,O,O
36,rồi,O,O
36,nhở,O,O
36,tắt,O,B-cm
36,cho,O,O
36,mình,O,O
36,cái,O,O
36,bình,O,B-dv
36,nóng,O,I-dv
36,lạnh,O,E-dv
36,với,O,O
36,nhá,O,O
37,em,O,O
37,ơi,O,O
37,mở,O,B-cm
37,ngay,O,O
37,anh,O,O
37,cái,O,O
37,điều,O,B-dv
37,hòa,O,E-dv
37,ở,O,O
37,phòng,O,B-loc
37,tiếp,O,I-loc
37,đón,O,E-loc
37,em,O,O
37,nhé,O,O
38,mình,O,O
38,đang,O,O
38,mỏi,O,O
38,quá,O,O
38,mở,O,B-cm
38,cái,O,O
38,máy,O,B-dv
38,mát,O,I-dv
38,xa,O,E-dv
38,lên,O,O
38,cho,O,O
38,mình,O,O
38,nhá,O,O
39,tăng,O,B-cm
39,cho,O,O
39,anh,O,O
39,cái,O,O
39,quạt,O,B-dv
39,hút,O,I-dv
39,mùi,O,E-dv
39,với,O,O
40,đóng,O,B-cm
40,cho,O,O
40,anh,O,O
40,cái,O,O
40,rèm,O,B-dv
40,ở,O,O
40,phòng,O,O
40,ngủ,O,O
41,trời,O,O
41,tối,O,O
41,"quá,",O,O
41,em,O,O
41,mở,O,B-cm
41,giúp,O,O
41,anh,O,O
41,cái,O,O
41,rèm,O,B-dv
41,cửa,O,O
41,ra,O,O
41,với,O,O
42,em,O,O
42,ơi,O,O
42,giảm,O,B-cm
42,hộ,O,O
42,anh,O,O
42,cái,O,O
42,bóng,O,B-dv
42,hắt,O,E-dv
42,với,O,O
43,kiểm,O,B-cm
43,tra,O,E-cm
43,cho,O,O
43,anh,O,O
43,cái,O,O
43,đèn,O,B-dv
43,ngủ,O,E-dv
43,lúc,O,O
43,22,O,B-ta
43,giờ,O,I-ta
43,57,O,I-ta
43,phút,O,E-ta
44,tôi,O,O
44,thấy,O,O
44,hơi,O,O
44,nóng,O,O
44,hãy,O,O
44,đóng,O,B-cm
44,lò,O,B-dv
44,sưởi,O,E-dv
44,giúp,O,O
44,tôi,O,O
44,với,O,O
45,mấy,O,O
45,giờ,O,O
45,rồi,O,O
45,mở,O,B-cm
45,ngay,O,O
45,radio,O,B-dv
45,lên,O,O
45,nhanh,O,O
46,bật,O,B-cm
46,cho,O,O
46,chị,O,O
46,cái,O,O
46,máy,O,B-dv
46,in,O,E-dv
46,đi,O,O
46,em,O,O
46,ơi,O,O
47,em,O,O
47,ơi,O,O
47,đóng,O,B-cm
47,cho,O,O
47,chị,O,O
47,cái,O,O
47,lò,O,B-dv
47,vi,O,I-dv
47,sóng,O,E-dv
47,với,O,O
47,nhé,O,O
48,em,O,O
48,"ơi,",O,O
48,chiều,O,O
48,nay,O,O
48,anh,O,O
48,đi,O,O
48,vắng,O,O
48,cho,O,O
48,nên,O,O
48,em,O,O
48,bật,O,B-cm
48,hộ,O,O
48,anh,O,O
48,cái,O,O
48,loa,O,B-dv
48,ở,O,O
48,trên,O,O
48,tầng,O,B-loc
48,thượng,O,E-loc
48,cho,O,O
48,con,O,O
48,anh,O,O
48,nó,O,O
48,tập,O,O
48,nhảy,O,O
48,nhé,O,O
49,mình,O,O
49,mới,O,O
49,mua,O,O
49,nhiều,O,O
49,đồ,O,O
49,ăn,O,O
49,về,O,O
49,"quá,",O,O
49,bạn,O,O
49,mở,O,B-cm
49,giúp,O,O
49,mình,O,O
49,tủ,O,B-dv
49,lạnh,O,E-dv
49,mình,O,O
49,cho,O,O
49,đồ,O,O
49,ăn,O,O
49,vào,O,O
49,cái,O,O
50,này,O,O
50,trợ,O,O
50,"lý,",O,O
50,hãy,O,O
50,kiểm,O,B-cm
50,tra,O,E-cm
50,cái,O,O
50,bóng,O,B-dv
50,trụ,O,I-dv
50,cổng,O,E-dv
50,xem,O,O
50,nào,O,O
51,bạn,O,O
51,ơi,O,O
51,bạn,O,O
51,kiểm,O,B-cm
51,tra,O,E-cm
51,giúp,O,O
51,mình,O,O
51,cái,O,O
51,bóng,O,B-dv
51,trụ,O,I-dv
51,cổng,O,E-dv
51,ở,O,O
51,phòng,O,B-loc
51,khách,O,E-loc
51,với,O,O
51,nhé,O,O
52,ôi,O,O
52,chết,O,O
52,rồi,O,O
52,tôi,O,O
52,quên,O,O
52,mất,O,O
52,"rồi,",O,O
52,tắt,O,B-cm
52,giùm,O,O
52,tôi,O,O
52,cái,O,O
52,máy,O,B-dv
52,chơi,O,I-dv
52,game,O,E-dv
52,nhé,O,O
53,lạnh,O,O
53,quá,O,O
53,em,O,O
53,tăng,O,B-cm
53,lò,O,B-dv
53,sưởi,O,E-dv
53,lên,O,O
53,giúp,O,O
53,anh,O,O
53,với,O,O
54,trời,O,O
54,nóng,O,O
54,quá,O,O
54,em,O,O
54,mở,O,B-cm
54,giúp,O,O
54,anh,O,O
54,cái,O,O
54,điều,O,B-dv
54,hòa,O,E-dv
54,nhé,O,O
55,"ê,",O,O
55,mở,O,B-cm
55,cái,O,O
55,máy,O,B-dv
55,giặt,O,E-dv
55,giúp,O,O
55,tôi,O,O
55,với,O,O
56,à,O,O
56,quên,O,O
56,tắt,O,B-cm
56,giúp,O,O
56,chú,O,O
56,ở,O,O
56,hầm,O,B-loc
56,rượu,O,E-loc
56,đó,O,O
57,em,O,O
57,ơi,O,O
57,mở,O,B-cm
57,giúp,O,O
57,chị,O,O
57,cái,O,O
57,màn,O,B-dv
57,cửa,O,I-dv
57,số,O,I-dv
57,18,O,E-dv
57,trong,O,O
57,phòng,O,B-loc
57,nhé,O,O
58,em,O,O
58,ơi,O,O
58,hãy,O,O
58,kiểm,O,B-cm
58,tra,O,E-cm
58,giúp,O,O
58,chị,O,O
58,cái,O,O
58,đèn,O,B-dv
58,ngủ,O,E-dv
58,nhé,O,O
59,tăng,O,B-cm
59,giúp,O,O
59,anh,O,O
59,cái,O,O
59,bóng,O,B-dv
59,âm,O,I-dv
59,trần,O,E-dv
59,với,O,O
59,em,O,O
59,ơi,O,O
60,tăng,O,B-cm
60,hộ,O,O
60,mình,O,O
60,đèn,O,B-dv
60,sợi,O,I-dv
60,đốt,O,E-dv
60,với,O,O
61,em,O,O
61,ơi,O,O
61,giảm,O,B-cm
61,hộ,O,O
61,anh,O,O
61,cái,O,O
61,đèn,O,B-dv
61,ở,O,O
61,cái,O,O
61,phòng,O,B-loc
61,xem,O,I-loc
61,phim,O,I-loc
61,của,O,I-loc
61,hân,O,E-loc
61,nhé,O,O
62,nay,O,O
62,trời,O,O
62,nồm,O,O
62,quá,O,O
62,mở,O,B-cm
62,giúp,O,O
62,mình,O,O
62,cái,O,O
62,máy,O,B-dv
62,hút,O,I-dv
62,ẩm,O,E-dv
62,lên,O,O
62,nhớ,O,O
63,em,O,O
63,ơi,O,O
63,tắt,O,B-cm
63,giúp,O,O
63,chị,O,O
63,cái,O,O
63,bóng,O,B-dv
63,thả,O,E-dv
63,với,O,O
64,bạn,O,O
64,giảm,O,B-cm
64,cho,O,O
64,mình,O,O
64,cái,O,O
64,độ,O,O
64,mạnh,O,O
64,của,O,O
64,quạt,O,B-dv
64,hút,O,I-dv
64,mùi,O,E-dv
64,xuống,O,O
64,4,O,B-tn
64,với,O,O
65,trời,O,O
65,tối,O,O
65,rồi,O,O
65,hãy,O,O
65,bật,O,B-cm
65,cái,O,O
65,bóng,O,B-dv
65,tròn,O,E-dv
65,lên,O,O
65,đi,O,O
66,ê,O,O
66,mở,O,B-cm
66,hộ,O,O
66,tao,O,O
66,cái,O,O
66,rèm,O,B-dv
66,với,O,O
67,em,O,O
67,"ơi,",O,O
67,kiểm,O,B-cm
67,tra,O,E-cm
67,hộ,O,O
67,anh,O,O
67,cái,O,O
67,đèn,O,B-dv
67,tuýp,O,E-dv
67,nhé,O,O
68,tắt,O,B-cm
68,cho,O,O
68,anh,O,O
68,cái,O,O
68,bóng,O,B-dv
68,âm,O,I-dv
68,trần,O,E-dv
68,nhé,O,O
69,cái,O,O
69,máy,O,B-dv
69,mát,O,I-dv
69,xa,O,E-dv
69,kêu,O,O
69,hơi,O,O
69,ồn,O,O
69,em,O,O
69,kiểm,O,B-cm
69,tra,O,E-cm
69,giúp,O,O
69,anh,O,O
69,nhé,O,O
70,trời,O,O
70,tối,O,O
70,rồi,O,O
70,em,O,O
70,bật,O,B-cm
70,giúp,O,O
70,chị,O,O
70,cái,O,O
70,bóng,O,B-dv
70,đứng,O,E-dv
70,với,O,O
71,đến,O,O
71,giờ,O,O
71,đi,O,O
71,ngủ,O,O
71,"rồi,",O,O
71,hãy,O,O
71,tắt,O,B-cm
71,bóng,O,B-dv
71,giúp,O,O
71,tôi,O,O
72,tối,O,O
72,quá,O,O
72,bật,O,B-cm
72,bóng,O,B-dv
72,chùm,O,E-dv
72,lên,O,O
73,sân,O,O
73,nay,O,O
73,hơi,O,O
73,khô,O,O
73,nhỉ,O,O
73,bật,O,B-cm
73,cho,O,O
73,mình,O,O
73,cái,O,O
73,van,O,B-dv
73,tưới,O,E-dv
73,nước,O,O
73,với,O,O
74,cái,O,O
74,đèn,O,B-dv
74,học,O,E-dv
74,có,O,O
74,còn,O,O
74,hoạt,O,O
74,động,O,O
74,không,O,O
74,ấy,O,O
74,nhở,O,O
74,đi,O,O
74,kiểm,O,B-cm
74,tra,O,E-cm
74,cho,O,O
74,anh,O,O
74,nhé,O,O
75,bật,O,B-cm
75,máy,O,B-dv
75,hút,O,I-dv
75,mùi,O,E-dv
75,ở,O,O
75,phòng,O,B-loc
75,ngủ,O,I-loc
75,của,O,I-loc
75,my,O,E-loc
75,ý,O,O
77,đúng,O,O
77,rồi,O,O
77,em,O,O
77,nhá,O,O
77,đóng,O,B-cm
77,cho,O,O
77,anh,O,O
77,cái,O,O
77,lò,O,B-dv
77,sưởi,O,E-dv
77,nhá,O,O
78,hình,O,O
78,như,O,O
78,cái,O,O
78,lò,O,B-dv
78,vi,O,I-dv
78,sóng,O,E-dv
78,không,O,O
78,hoạt,O,O
78,"động,",O,O
78,kiểm,O,B-cm
78,tra,O,E-cm
78,cho,O,O
78,anh,O,O
78,với,O,O
78,nhá,O,O
79,em,O,O
79,ơi,O,O
79,tắt,O,B-cm
79,giúp,O,O
79,chị,O,O
79,cái,O,O
79,bếp,O,B-dv
79,với,O,O
80,hãy,O,O
80,kiểm,O,B-cm
80,tra,O,E-cm
80,bóng,O,B-dv
80,thả,O,E-dv
80,có,O,O
80,đang,O,O
80,hoạt,O,O
80,động,O,O
80,hay,O,O
80,không,O,O
81,em,O,O
81,ơi,O,O
81,cái,O,O
81,bóng,O,B-dv
81,ốp,O,I-dv
81,trần,O,E-dv
81,này,O,O
81,sáng,O,O
81,quá,O,O
81,em,O,O
81,giảm,O,B-cm
81,giúp,O,O
81,anh,O,O
81,xuống,O,O
81,đi,O,O
82,em,O,O
82,"ơi,",O,O
82,tắt,O,B-cm
82,bóng,O,B-dv
82,thả,O,E-dv
82,cho,O,O
82,anh,O,O
83,em,O,O
83,ơi,O,O
83,mở,O,B-cm
83,cho,O,O
83,anh,O,O
83,cái,O,O
83,màn,O,B-dv
83,cửa,O,I-dv
83,số,O,I-dv
83,18,O,E-dv
83,ở,O,O
83,trong,O,O
83,phòng,O,B-loc
83,với,O,O
84,bật,O,B-cm
84,đèn,O,B-dv
84,trụ,O,I-dv
84,cổng,O,E-dv
84,ngoài,O,O
84,sân,O,B-loc
84,trong,O,O
84,11,O,B-dr
84,tiếng,O,I-dr
84,51,O,I-dr
84,phút,O,E-dr
85,sáng,O,O
85,"quá,",O,O
85,giảm,O,B-cm
85,cho,O,O
85,mình,O,O
85,cái,O,O
85,bóng,O,B-dv
85,ngủ,O,E-dv
85,với,O,O
86,quản,O,O
86,"lý,",O,O
86,tăng,O,B-cm
86,giúp,O,O
86,cái,O,O
86,vòi,O,B-dv
86,hoa,O,I-dv
86,sen,O,E-dv
86,lên,O,O
86,với,O,O
87,tối,O,O
87,thế,O,O
87,bật,O,B-cm
87,cho,O,O
87,anh,O,O
87,cái,O,O
87,đèn,O,B-dv
87,bàn,O,E-dv
87,với,O,O
88,giảm,O,B-cm
88,hộ,O,O
88,mình,O,O
88,cái,O,O
88,đèn,O,B-dv
88,compact,O,E-dv
88,với,O,O
89,trời,O,O
89,nóng,O,O
89,"quá,",O,O
89,em,O,O
89,đóng,O,B-cm
89,giúp,O,O
89,anh,O,O
89,cái,O,O
89,lò,O,B-dv
89,sưởi,O,E-dv
89,nhé,O,O
90,em,O,O
90,ơi,O,O
90,đóng,O,B-cm
90,giúp,O,O
90,anh,O,O
90,cái,O,O
90,lò,O,B-dv
90,sưởi,O,E-dv
90,ở,O,O
90,phòng,O,B-loc
90,bếp,O,E-loc
90,lúc,O,O
90,5,O,B-ta
90,giờ,O,I-ta
90,45,O,I-ta
90,phút,O,E-ta
90,với,O,O
91,mình,O,O
91,muốn,O,O
91,tắt,O,B-cm
91,máy,O,B-dv
91,chơi,O,I-dv
91,game,O,E-dv
91,ở,O,O
91,phòng,O,B-loc
91,chờ,O,E-loc
91,liệu,O,O
91,bạn,O,O
91,có,O,O
91,thể,O,O
91,giúp,O,O
91,mình,O,O
91,được,O,O
91,không,O,O
92,em,O,O
92,ơi,O,O
92,kiểm,O,B-cm
92,tra,O,E-cm
92,giúp,O,O
92,chị,O,O
92,cái,O,O
92,bóng,O,B-dv
92,thả,O,E-dv
92,với,O,O
93,chói,O,O
93,mắt,O,O
93,"quá,",O,O
93,tắt,O,B-cm
93,giùm,O,O
93,anh,O,O
93,cái,O,O
93,bóng,O,B-dv
93,treo,O,I-dv
93,tường,O,E-dv
93,nào,O,O
94,đóng,O,B-cm
94,giúp,O,O
94,tôi,O,O
94,cái,O,O
94,lò,O,B-dv
94,vi,O,I-dv
94,sóng,O,E-dv
94,lúc,O,O
94,15,O,B-ta
94,giờ,O,I-ta
94,38,O,I-ta
94,phút,O,E-ta
95,hãy,O,O
95,mở,O,B-cm
95,cho,O,O
95,mình,O,O
95,màn,O,B-dv
95,cuốn,O,E-dv
96,đóng,O,B-cm
96,hộ,O,O
96,tôi,O,O
96,cái,O,O
96,cửa,O,B-dv
96,với,O,O
97,bạn,O,O
97,trợ,O,O
97,lí,O,O
97,ảo,O,O
97,giúp,O,O
97,mình,O,O
97,kiểm,O,B-cm
97,tra,O,E-cm
97,cái,O,O
97,đèn,O,B-dv
97,tường,O,E-dv
97,nhé,O,O
98,bạn,O,O
98,mở,O,B-cm
98,ở,O,O
98,phòng,O,B-loc
98,cuối,O,E-loc
98,đi,O,O
99,tiếng,O,O
99,ti,O,B-dv
99,vi,O,E-dv
99,to,O,O
99,"quá,",O,O
99,giảm,O,B-cm
99,đi,O,O
100,hôi,O,O
100,thế,O,O
100,"nhờ,",O,O
100,bật,O,B-cm
100,máy,O,B-dv
100,hút,O,I-dv
100,mùi,O,E-dv
100,đê,O,O
101,em,O,O
101,tăng,O,B-cm
101,cho,O,O
101,anh,O,O
101,cái,O,O
101,đèn,O,B-dv
101,compact,O,E-dv
101,được,O,O
101,không,O,O
102,à,O,O
102,không,O,O
102,tắt,O,B-cm
102,đèn,O,B-dv
102,sưởi,O,E-dv
102,cho,O,O
102,chị,O,O
102,nhá,O,O
103,cháu,O,O
103,anh,O,O
103,nó,O,O
103,sắp,O,O
103,đi,O,O
103,tắm,O,O
103,em,O,O
103,tăng,O,B-cm
103,cho,O,O
103,anh,O,O
103,cái,O,O
103,bình,O,B-dv
103,nóng,O,I-dv
103,lạnh,O,E-dv
103,lên,O,O
103,nhé,O,O
104,em,O,O
104,ơi,O,O
104,kiểm,O,B-cm
104,tra,O,E-cm
104,cái,O,O
104,bóng,O,B-dv
104,ngủ,O,E-dv
104,nó,O,O
104,đang,O,O
104,như,O,O
104,thế,O,O
104,nào,O,O
104,giúp,O,O
104,chị,O,O
104,với,O,O
105,hãy,O,O
105,đóng,O,B-cm
105,cho,O,O
105,mình,O,O
105,van,O,B-dv
105,nước,O,E-dv
105,ở,O,O
105,nhà,O,B-loc
105,tắm,O,E-loc
106,tí,O,O
106,nữa,O,O
106,đóng,O,B-cm
106,cho,O,O
106,anh,O,O
106,cái,O,O
106,lò,O,B-dv
106,sưởi,O,E-dv
106,trong,O,O
106,phòng,O,B-loc
106,bếp,O,E-loc
106,nhé,O,O
107,tối,O,O
107,"quá,",O,O
107,kiểm,O,B-cm
107,tra,O,E-cm
107,giúp,O,O
107,anh,O,O
107,cái,O,O
107,đèn,O,B-dv
107,ngủ,O,E-dv
107,nhé,O,O
108,haizz,O,O
108,trời,O,O
108,nóng,O,O
108,quá,O,O
108,bạn,O,O
108,mở,O,B-cm
108,cho,O,O
108,mình,O,O
108,cái,O,O
108,điều,O,B-dv
108,hòa,O,E-dv
108,lên,O,O
108,nhá,O,O
109,mình,O,O
109,muốn,O,O
109,đóng,O,B-cm
109,ở,O,O
109,nhà,O,B-loc
109,tắm,O,E-loc
109,bạn,O,O
109,nhá,O,O
110,bật,O,B-cm
110,giúp,O,O
110,chị,O,O
110,cái,O,O
110,đèn,O,B-dv
110,bàn,O,E-dv
110,đi,O,O
111,"ờ,",O,O
111,kiểm,O,B-cm
111,tra,O,E-cm
111,giúp,O,O
111,anh,O,O
111,cái,O,O
111,máy,O,B-dv
111,pha,O,I-dv
111,cafe,O,E-dv
111,ở,O,O
111,trong,O,O
111,phòng,O,B-loc
111,tiếp,O,I-loc
111,đón,O,E-loc
111,ý,O,O
112,à,O,O
112,em,O,O
112,ơi,O,O
112,anh,O,O
112,quên,O,O
112,mất,O,O
112,tắt,O,B-cm
112,cho,O,O
112,anh,O,O
112,cái,O,O
112,đèn,O,B-dv
112,tường,O,E-dv
112,nhé,O,O
113,tăng,O,B-cm
113,sáng,O,O
113,giúp,O,O
113,mình,O,O
113,đèn,O,B-dv
113,chùm,O,E-dv
113,lên,O,O
113,nhớ,O,O
114,bé,O,O
114,ơi,O,O
114,bật,O,B-cm
114,giúp,O,O
114,chị,O,O
114,cái,O,O
114,bóng,O,B-dv
114,compact,O,E-dv
114,với,O,O
115,này,O,O
115,trợ,O,O
115,"lý,",O,O
115,đóng,O,B-cm
115,giùm,O,O
115,tôi,O,O
115,cái,O,O
115,cửa,O,B-dv
115,cuốn,O,E-dv
115,nhé,O,O
116,đóng,O,B-cm
116,ở,O,O
116,cổng,O,B-loc
116,chính,O,E-loc
116,ý,O,O
117,trợ,O,O
117,lý,O,O
117,mở,O,B-cm
117,cho,O,O
117,tôi,O,O
117,cái,O,O
117,máy,O,B-dv
117,giặt,O,E-dv
117,vào,O,O
117,lúc,O,O
117,6,O,B-ta
117,giờ,O,I-ta
117,51,O,I-ta
117,phút,O,E-ta
117,nhé,O,O
118,em,O,O
118,"ơi,",O,O
118,kiểm,O,B-cm
118,tra,O,E-cm
118,giúp,O,O
118,anh,O,O
118,cái,O,O
118,đèn,O,B-dv
118,tranh,O,E-dv
119,tắt,O,B-cm
119,ngay,O,O
119,cái,O,O
119,máy,O,B-dv
119,chơi,O,I-dv
119,game,O,E-dv
119,ở,O,O
119,trong,O,O
119,phòng,O,B-loc
119,chờ,O,E-loc
119,đi,O,O
119,cho,O,O
119,tôi,O,O
120,trời,O,O
120,nồm,O,O
120,"quá,",O,O
120,tăng,O,B-cm
